区市町村名,学校名,募集人員(A)／男,募集人員(A)／女,募集人員(A)／計,最終応募人員／男,最終応募人員／女,最終応募人員／計,受検人員(B)／男,受検人員(B)／女,受検人員(B)／計,受検倍率(B/A)／男,受検倍率(B/A)／女,受検倍率(B/A)／計
千代田,日比谷,132,122,254,326,248,574,254,214,468,1.92,1.75,1.84
港,三田,124,114,238,237,237,474,204,222,426,1.65,1.95,1.79
新宿,戸山,149,136,285,282,233,515,237,212,449,1.59,1.56,1.58
文京,竹早,93,85,178,187,195,382,167,187,354,1.80,2.20,1.99
文京,向丘,116,106,222,215,236,451,202,226,428,1.74,2.13,1.93
台東,上野,132,121,253,246,196,442,230,183,413,1.74,1.51,1.63
台東,白鴎,31,31,62,54,45,99,39,40,79,1.26,1.29,1.27
墨田,日本橋,102,93,195,151,157,308,147,156,303,1.44,1.68,1.55
墨田,本所,106,97,203,181,177,358,175,172,347,1.65,1.77,1.71
墨田,両国,31,31,62,38,37,75,27,35,62,0.87,1.13,1.00
江東,城東,149,136,285,228,209,437,219,206,425,1.47,1.51,1.49
江東,東,116,107,223,186,171,357,178,164,342,1.53,1.53,1.53
江東,深川,96,89,185,157,147,304,148,145,293,1.54,1.63,1.58
品川,大崎,116,107,223,186,135,321,174,131,305,1.50,1.22,1.37
品川,小山台,132,121,253,205,219,424,187,210,397,1.42,1.74,1.57
品川,八潮,106,96,202,133,104,237,129,100,229,1.22,1.04,1.13
目黒,駒場,116,106,222,211,206,417,195,201,396,1.68,1.90,1.78
目黒,目黒,116,107,223,207,209,416,172,188,360,1.48,1.76,1.61
大田,大森,100,91,191,144,122,266,140,120,260,1.40,1.32,1.36
大田,蒲田,41,38,79,58,43,101,57,41,98,1.39,1.08,1.24
大田,田園調布,87,79,166,172,146,318,143,135,278,1.64,1.71,1.67
大田,雪谷,116,107,223,182,207,389,159,197,356,1.37,1.84,1.60
世田谷,桜町,132,121,253,158,190,348,149,180,329,1.13,1.49,1.30
世田谷,千歳丘,116,107,223,142,148,290,126,144,270,1.09,1.35,1.21
世田谷,深沢,88,80,168,109,134,243,99,129,228,1.13,1.61,1.36
世田谷,松原,82,76,158,116,149,265,101,145,246,1.23,1.91,1.56
渋谷,青山,130,120,250,258,250,508,225,224,449,1.73,1.87,1.80
渋谷,広尾,82,74,156,174,182,356,145,171,316,1.77,2.31,2.03
中野,鷺宮,116,106,222,184,170,354,175,166,341,1.51,1.57,1.54
中野,富士,31,31,62,71,53,124,58,48,106,1.87,1.55,1.71
中野,武蔵丘,132,122,254,220,212,432,205,206,411,1.55,1.69,1.62
杉並,杉並,132,122,254,203,188,391,172,177,349,1.30,1.45,1.37
杉並,豊多摩,132,121,253,298,269,567,264,247,511,2.00,2.04,2.02
杉並,西,132,121,253,259,208,467,225,183,408,1.70,1.51,1.61
豊島,豊島,116,106,222,179,173,352,166,169,335,1.43,1.59,1.51
豊島,文京,149,136,285,307,276,583,285,270,555,1.91,1.99,1.95
荒川,竹台,74,67,141,100,78,178,93,74,167,1.26,1.10,1.18
板橋,板橋,116,107,223,165,176,341,158,175,333,1.36,1.64,1.49
板橋,大山,87,80,167,120,118,238,114,117,231,1.31,1.46,1.38
板橋,北園,132,122,254,281,263,544,262,251,513,1.98,2.06,2.02
板橋,高島,132,121,253,227,216,443,214,212,426,1.62,1.75,1.68
練馬,井草,116,107,223,179,161,340,160,156,316,1.38,1.46,1.42
練馬,大泉,31,31,62,48,38,86,39,30,69,1.26,0.97,1.11
練馬,石神井,132,121,253,219,217,436,189,205,394,1.43,1.69,1.56
練馬,田柄,35,33,68,48,42,90,43,42,85,1.23,1.27,1.25
練馬,練馬,116,107,223,130,132,262,123,130,253,1.06,1.21,1.13
練馬,光丘,114,104,218,154,125,279,149,121,270,1.31,1.16,1.24
足立,青井,75,69,144,91,109,200,87,106,193,1.16,1.54,1.34
足立,足立,132,121,253,193,115,308,187,113,300,1.42,0.93,1.19
足立,足立新田,100,93,193,128,116,244,120,116,236,1.20,1.25,1.22
足立,足立西,82,76,158,107,99,206,104,98,202,1.27,1.29,1.28
足立,足立東,41,38,79,84,67,151,80,66,146,1.95,1.74,1.85
足立,江北,132,121,253,199,161,360,187,155,342,1.42,1.28,1.35
足立,淵江,84,77,161,104,110,214,104,107,211,1.24,1.39,1.31
葛飾,葛飾野,132,122,254,188,138,326,187,134,321,1.42,1.10,1.26
葛飾,南葛飾,68,61,129,122,140,262,119,134,253,1.75,2.20,1.96
江戸川,江戸川,132,122,254,232,206,438,225,204,429,1.70,1.67,1.69
江戸川,葛西南,116,107,223,154,133,287,149,129,278,1.28,1.21,1.25
江戸川,小岩,149,136,285,269,244,513,258,241,499,1.73,1.77,1.75
江戸川,小松川,132,122,254,186,143,329,178,142,320,1.35,1.16,1.26
江戸川,篠崎,106,97,203,169,152,321,163,147,310,1.54,1.52,1.53
江戸川,紅葉川,100,91,191,170,159,329,166,155,321,1.66,1.70,1.68
区部計,,6543,6016,12559,10731,9939,20670,9836,9504,19340,1.50,1.58,1.54
八王子,片倉,100,91,191,148,117,265,147,112,259,1.47,1.23,1.36
八王子,八王子北,83,76,159,117,107,224,113,107,220,1.36,1.41,1.38
八王子,八王子東,132,121,253,177,168,345,170,164,334,1.29,1.36,1.32
八王子,富士森,147,135,282,184,197,381,176,193,369,1.20,1.43,1.31
八王子,松が谷,99,91,190,159,136,295,153,135,288,1.55,1.48,1.52
立川,立川,132,121,253,220,182,402,201,177,378,1.52,1.46,1.49
武蔵野,武蔵,31,31,62,52,58,110,43,57,100,1.39,1.84,1.61
武蔵野,武蔵野北,100,91,191,144,166,310,128,161,289,1.28,1.77,1.51
青梅,多摩,100,91,191,124,123,247,122,121,243,1.22,1.33,1.27
府中,府中,116,106,222,217,167,384,204,165,369,1.76,1.56,1.66
府中,府中西,125,115,240,174,162,336,168,158,326,1.34,1.37,1.36
府中,府中東,116,107,223,149,153,302,142,152,294,1.22,1.42,1.32
昭島,昭和,132,121,253,172,164,336,164,160,324,1.24,1.32,1.28
昭島,拝島,116,107,223,134,144,278,131,142,273,1.13,1.33,1.22
調布,神代,116,106,222,168,177,345,147,170,317,1.27,1.60,1.43
調布,調布北,99,91,190,132,141,273,123,136,259,1.24,1.49,1.36
調布,調布南,100,91,191,181,172,353,162,166,328,1.62,1.82,1.72
町田,小川,132,121,253,172,159,331,170,156,326,1.29,1.29,1.29
町田,成瀬,116,107,223,163,164,327,150,161,311,1.29,1.50,1.39
町田,野津田,50,46,96,75,87,162,74,85,159,1.48,1.85,1.66
町田,町田,132,122,254,194,182,376,184,179,363,1.39,1.47,1.43
町田,山崎,88,80,168,117,84,201,116,84,200,1.32,1.05,1.19
小金井,小金井北,100,91,191,170,167,337,149,160,309,1.49,1.76,1.62
小平,小平,83,76,159,135,149,284,124,140,264,1.49,1.84,1.66
小平,小平西,116,107,223,187,172,359,185,167,352,1.59,1.56,1.58
小平,小平南,116,107,223,210,183,393,193,180,373,1.66,1.68,1.67
日野,日野,132,122,254,187,183,370,177,177,354,1.34,1.45,1.39
日野,日野台,127,116,243,170,178,348,159,166,325,1.25,1.43,1.34
日野,南平,132,122,254,211,204,415,205,194,399,1.55,1.59,1.57
東村山,東村山,41,37,78,60,64,124,60,64,124,1.46,1.73,1.59
東村山,東村山西,116,107,223,167,132,299,164,132,296,1.41,1.23,1.33
国立,国立,132,121,253,207,186,393,185,176,361,1.40,1.45,1.43
福生,福生,116,107,223,169,157,326,166,155,321,1.43,1.45,1.44
狛江,狛江,149,137,286,249,221,470,215,211,426,1.44,1.54,1.49
東大和,東大和,116,107,223,180,145,325,175,143,318,1.51,1.34,1.43
東大和,東大和南,132,121,253,210,182,392,201,179,380,1.52,1.48,1.50
清瀬,清瀬,132,121,253,183,152,335,173,146,319,1.31,1.21,1.26
東久留米,久留米西,116,106,222,159,128,287,155,122,277,1.34,1.15,1.25
武蔵村山,武蔵村山,116,107,223,148,127,275,148,124,272,1.28,1.16,1.22
多摩,永山,115,112,227,173,198,371,170,196,366,1.48,1.75,1.61
羽村,羽村,116,106,222,129,131,260,127,129,256,1.09,1.22,1.15
あきる野,秋留台,50,45,95,129,84,213,126,80,206,2.52,1.78,2.17
西東京,田無,132,121,253,188,138,326,173,136,309,1.31,1.12,1.22
西東京,保谷,132,122,254,207,181,388,197,175,372,1.49,1.43,1.46
多摩部計,,4879,4486,9365,7201,6672,13873,6815,6493,13308,1.40,1.45,1.42
ｺｰｽ、単位制以外計,,11422,10502,21924,17932,16611,34543,16651,15997,32648,1.46,1.52,1.49
