,そう思う。（％）,どちらかと言えばそう思う。（％）,どちらかと言えばそう思わない。（％）,そう思わない。（％）
比率が７：３だった学校,25.0,50.0,25.0,0.0
比率が６：４だった学校,9.5,57.1,33.3,0.0
比率が５：５だった学校,11.8,58.8,23.5,5.9
注）全日制20校､定時制41,,,,
