年齢区分（歳）,23～25,26～30,31～35,36～40,41～45,46～50,51～55,56～60,61～,計
教員数,1,2,7,9,23,90,88,58,7,285
構成比（％）,0.35,0.70,2.46,3.16,8.07,31.58,30.88,20.35,2.46,100
