,平成16年度（実績）,平成21年度（実績）,平成27年度（推計）,平成32年度（推計）,,
小学校(人),"1,458","3,669","6,402","7,161",,
中学校(人),373,978,"1,615","1,643",,
計(人),"1,831","4,647","8,017","8,804",,
