,,全校で実施（％）,校内の一部で実施（％）,実施していない（％）
生徒の障害の状態や特性、生活経験等を考慮した適切な図書の選定をしている,合計,46.9,24.0,29.1
生徒の障害の状態や特性、生活経験等を考慮した適切な図書の選定をしている,小学校,28.7,15.0,13.3
生徒の障害の状態や特性、生活経験等を考慮した適切な図書の選定をしている,中学校,21.1,12.3,19.6
生徒の障害の状態や特性、生活経験等を考慮した適切な図書の選定をしている,高校,46.0,18.6,34.4
読み聞かせ、ﾍﾟｰﾌﾟｻｰﾄ、ﾊﾟﾈﾙｼｱﾀｰ、読書発表展などの活動を工夫し、読書することへの意欲の向上を図る指導を,合計,45.2,28.2,26.6
読み聞かせ、ﾍﾟｰﾌﾟｻｰﾄ、ﾊﾟﾈﾙｼｱﾀｰ、読書発表展などの活動を工夫し、読書することへの意欲の向上を図る指導を,小学校,37.8,16.0,3.3
読み聞かせ、ﾍﾟｰﾌﾟｻｰﾄ、ﾊﾟﾈﾙｼｱﾀｰ、読書発表展などの活動を工夫し、読書することへの意欲の向上を図る指導を,中学校,13.1,15.3,25.6
読み聞かせ、ﾍﾟｰﾌﾟｻｰﾄ、ﾊﾟﾈﾙｼｱﾀｰ、読書発表展などの活動を工夫し、読書することへの意欲の向上を図る指導を,高校,15.4,28.8,56.1
