,小学校全国,小学校全国東京都,小学校全国東京都以外,中学校全国,中学校全国東京都,中学校全国東京都以外,,,,,,,,
全学校数,23560,1354,22206,10392,653,9739,,,,,,,,
設置校数,12887,274,12613,6155,145,6010,,,,,,,,
設置校割合(%),54.7,20.2,56.8,59.2,22.2,61.7,,,,,,,,
