,好き（％）,どちらかといえば好き（％）,どちらかといえばきらい（％）,きらい（％）,無回答（％）
全体,12.1,35.8,29.9,20.8,1.4
小１,33.3,25.8,13.3,25.0,2.5
小２,23.5,27.9,19.7,27.3,2.0
小３,22.7,28.1,23.6,23.2,2.5
小４,19.7,31.4,26.1,21.8,0.6
小５,7.1,24.9,36.8,30.5,0.4
小６,5.9,25.4,33.8,33.2,1.5
中１,5.3,26.2,35.6,32.4,0.5
中２,6.2,26.7,32.5,34.1,0.2
中３,9.2,27.9,34.5,27.7,0.7
高１,12.0,38.8,30.2,18.2,0.9
高２,12.0,37.4,29.6,19.3,1.5
高３,19.5,36.2,26.9,16.0,1.3
高４,9.5,25.7,44.6,18.9,1.4
