,H１９（％）,H２５（％）,目標（％）,改善（pt）
小２,5.8,2.6,2.9,3.2
小５,9.0,5.4,4.5,3.6
中２,23.4,13.2,11.7,10.2
高２,47.8,31.8,23.9,16.0
