選択肢,回答数（人）,対回答者割合（%）
1 副校長は、勤務時間が長いから,203,43.1
2 副校長は、休日も出勤しなければならないから,178,37.8
3 副校長は、雑務が多く、教育そのものにかかわる仕事が少ないと感じるから,341,72.4
4 学習指導や生活指導などを通し、児童・生徒とかかわりたいと考えるから,214,45.4
5 給与などの処遇面が、職務内容や職責の実態に見合わないから,142,30.1
6 同僚や周囲の環境の影響から,44,9.3
7 その他,16,3.4
合計,1138,
＜回答者数＞,471,100.0
