,対回答者割合（%）
教科等の専門性や指導助言力,63
教育課程編成に関する知識や実務能力,42
広い視野にたったバランス感覚,33
企画力,31
コミュニケーション能力,28
教育に関する広い識見,24
報告・連絡・相談などの組織的な対応能力,23
文章作成能力,13
学校経営に関する知識や実務能力,11
苦情・要請などの対応能力,11
資料の収集・活用能力,7
事故対応能力,7
予算などの財務感覚や実務能力,2
その他,2
