,読みたい本がなかった（％）,読む時間がなかった（％）,読むことに興味がない（％）,文章、字を見るのが嫌い（％）,どれもあてはまらない（％）,無回答（％）
小2,29.3,20.2,33.3,21.2,14.1,7.1
小5,44.8,31.1,44.8,31.5,9.1,0.8
中2,44.6,34.4,46.5,27.0,6.0,1.7
高2,36.0,39.8,34.1,12.6,7.6,5.0
