対処法,解消した,どちらともいえない,解消しなかった
抑制的な対処,4.7,11.3,79.0
ほどほどの対処,44.0,13.3,42.7
攻撃的な対処,31.9,12.1,56.0
不明,30.8,26.9,42.3
