区市町村名,学校名,募集人員（男女問わず）(A),最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)
新宿,新宿,284,356,326,682,2.40
台東,忍岡,124,48,94,142,1.15
墨田,墨田川,252,173,168,341,1.35
大田,美原,188,107,104,211,1.12
世田谷,芦花,220,135,252,387,1.76
北,飛鳥,170,56,180,236,1.39
板橋,板橋有徳,188,108,126,234,1.24
練馬,大泉桜,188,50,196,246,1.31
八王子,翔陽,188,105,120,225,1.20
国分寺,国分寺,252,238,213,451,1.79
武蔵村山,上水,188,85,190,275,1.46
単位制計,,2242,1461,1969,3430,1.53
