区分,解錠,施錠
0.教職員校長,2,2
0.教職員副校長,8,7
0.教職員規定なし,21,13
1.行政職員,7,5
2.シルバー人材,16,25
3.外部業者,6,13
4.保護者・地域組織,0,1
5.その他,6,5
6.教委として定めていない,9,10
