区分,学校経営(%),学外関係者対応(%),調査・報告(%),児童・生徒の指導、管理(%),研修(%),その他(%)
平日昨年度,54.9,21.8,15.7,0.1,0.0,7.4
平日今年度,43.3,13.9,7.8,35.0,0.0,0.0
plan_honbun_46,,,,,,
区分,平日業務時間,,,,,
昨年度,12.1,,,,,
今年度,13.8,,,,,
