区市町村名,学校名,科名,募集人員（男女問わず）(A),最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)
文京,工芸,ﾏｼﾝｸﾗﾌﾄ,25,19,11,30,1.20
文京,工芸,ｱｰﾄｸﾗﾌﾄ,25,3,31,34,1.36
文京,工芸,ｲﾝﾃﾘｱ,25,14,22,36,1.44
文京,工芸,ﾃﾞｻﾞｲﾝ,25,10,30,40,1.60
文京,工芸,ｸﾞﾗﾌｨｯｸｱｰﾂ,25,8,25,33,1.32
文京,工芸,計,125,54,119,173,1.38
台東,蔵前工業,機械,46,45,0,45,0.98
台東,蔵前工業,電気,25,33,0,33,1.32
台東,蔵前工業,建築,22,26,5,31,1.41
台東,蔵前工業,設備工業,25,26,0,26,1.04
台東,蔵前工業,計,118,130,5,135,1.14
江東,墨田工業,機械,25,30,1,31,1.24
江東,墨田工業,自動車,25,37,3,40,1.60
江東,墨田工業,電気,49,52,1,53,1.08
江東,墨田工業,建築,25,36,1,37,1.48
江東,墨田工業,計,124,155,6,161,1.30
世田谷,総合工科,機械・自動車,49,58,0,58,1.18
世田谷,総合工科,電気・情報ﾃﾞｻﾞｲﾝ,49,46,5,51,1.04
世田谷,総合工科,建築・都市工学,49,47,7,54,1.10
世田谷,総合工科,計,147,151,12,163,1.11
中野,中野工業,総合技術,123,97,31,128,1.04
杉並,杉並工業,機械,49,57,0,57,1.16
杉並,杉並工業,電子,49,53,1,54,1.10
杉並,杉並工業,理工環境,25,15,3,18,0.72
杉並,杉並工業,計,123,125,4,129,1.05
荒川,荒川工業,電気,49,65,1,66,1.35
荒川,荒川工業,電子,25,27,3,30,1.20
荒川,荒川工業,情報技術,49,50,1,51,1.04
荒川,荒川工業,計,123,142,5,147,1.20
板橋,北豊島工業,総合技術,123,103,12,115,0.93
練馬,練馬工業,ｷｬﾘｱ技術,71,99,16,115,1.62
足立,足立工業,総合技術,123,121,3,124,1.01
江戸川,葛西工業,機械,49,64,1,65,1.33
江戸川,葛西工業,電子,25,43,3,46,1.84
江戸川,葛西工業,建築,49,67,16,83,1.69
江戸川,葛西工業,計,123,174,20,194,1.58
府中,府中工業,機械,25,37,1,38,1.52
府中,府中工業,電気,49,65,0,65,1.33
府中,府中工業,情報技術,25,49,1,50,2.00
府中,府中工業,工業技術,25,30,2,32,1.28
府中,府中工業,計,124,181,4,185,1.49
町田,町田工業,総合情報,123,129,22,151,1.23
福生,多摩工業,機械,49,74,2,76,1.55
福生,多摩工業,電気,49,57,1,58,1.18
福生,多摩工業,環境化学,25,29,4,33,1.32
福生,多摩工業,計,123,160,7,167,1.36
西東京,田無工業,機械,49,52,0,52,1.06
西東京,田無工業,建築,49,59,8,67,1.37
西東京,田無工業,都市工学,25,29,0,29,1.16
西東京,田無工業,計,123,140,8,148,1.20
工業計,,,1816,1961,274,2235,1.23
