選抜,中学校長会進路対策委員会による志望予定調査,第一次募集／最終応募倍率,第一次募集／受検倍率
平成25年度入学者選抜,1.25,1.70,1.63
平成26年度入学者選抜,1.28,1.76,1.68
平成27年度入学者選抜,1.30,1.66,1.59
平成28年度入学者選抜,1.27,1.57,1.51
