学科,,第１学年,区分１,区分２,第２学年,区分１,区分２,第３学年,区分１,区分２,計,備考
普通科,募集人員,612,138,474,1013,128,885,1444,116,1328,3069,"深川・田柄・片倉・松が谷・小平…普通科（コース)併置
／野津田…福祉科及び体育科併置"
普通科,募集校延べ数,125,97,125,127,94,116,121,79,113,129,"深川・田柄・片倉・松が谷・小平…普通科（コース)併置
／野津田…福祉科及び体育科併置"
商業科,募集人員,19,9,10,84,9,75,161,8,153,264,五日市・・・普通科（コース）併置
商業科,募集校延べ数,10,9,10,10,9,10,10,8,10,10,五日市・・・普通科（コース）併置
"ビジネス
コミュニケーション科",募集人員,4,2,2,25,2,23,48,2,46,77,
"ビジネス
コミュニケーション科",募集校延べ数,2,2,2,2,2,2,2,2,2,2,
工業科,募集人員,32,16,16,333,16,317,356,15,341,721,
工業科,募集校延べ数,16,16,16,16,16,16,16,15,16,16,
科学技術科,募集人員,3,1,2,4,2,2,4,2,2,11,
科学技術科,募集校延べ数,2,1,2,2,2,2,2,2,2,2,
農業科,募集人員,10,5,5,25,5,20,27,5,22,62,
農業科,募集校延べ数,5,5,5,5,5,5,5,5,5,5,
家庭科,募集人員,6,3,3,6,3,3,15,3,12,27,農業・瑞穂農芸・・・農業科併置／忍岡・・・普通科（単位制）併置
家庭科,募集校延べ数,3,3,3,3,3,2,3,3,3,3,農業・瑞穂農芸・・・農業科併置／忍岡・・・普通科（単位制）併置
福祉科,募集人員,2,1,1,8,1,7,2,1,1,12,
福祉科,募集校延べ数,1,1,1,1,1,1,1,1,1,1,
芸術科,募集人員,0,0,0,0,0,0,1,0,1,1,
芸術科,募集校延べ数,0,0,0,0,0,0,1,0,1,1,
体育科,募集人員,1,0,1,5,0,5,17,0,17,23,駒場…普通科併置
体育科,募集校延べ数,1,0,1,1,0,1,1,0,2,2,駒場…普通科併置
国際科,募集人員,2,0,2,2,0,2,8,0,8,12,
国際科,募集校延べ数,1,0,1,1,0,1,2,0,2,2,
併合科,募集人員,83,0,83,93,0,93,87,0,87,263,大島・三宅・八丈・・・普通科併置
併合科,募集校延べ数,3,0,3,3,0,3,3,0,3,3,大島・三宅・八丈・・・普通科併置
産業科,募集人員,4,2,2,5,2,3,50,2,48,59,
産業科,募集校延べ数,2,2,2,2,2,2,2,2,2,2,
専門学科計,募集人員,166,39,127,590,40,550,776,38,738,1532,
専門学科計,募集校延べ数,46,39,46,46,40,45,48,38,49,49,
総合学科,募集人員,40,20,20,46,20,26,68,19,49,154,
総合学科,募集校延べ数,10,10,10,10,10,10,10,10,10,10,
計,募集人員,818,197,621,1649,188,1461,2288,173,2115,4755,
計,募集校延べ数,181,146,181,183,144,171,179,127,172,188,募集校実数 173校
