区分,項目,,３か年の目標／平成23年度入試,３か年の目標／平成24年度入試,３か年の目標／平成25年度入試
小山台高校,センター試験,5教科7科目で受験する者の在籍者に占める割合,46.4%(130/280),48.2%(135/280),53.1%(170/320)
小山台高校,センター試験,難関国立大学等に合格可能な得点水準(80%）以上の者の受験者に占める割合,7.7%(10/130),8.8%(12/135),10.6%(18/170)
小山台高校,合格実績,難関国立大学、国公立大学、難関私立大学等の現役合格者,難関国公立大6、国公立大40、難関私立大、40,難関国公立大6、国公立大45、難関私立大45,難関国公立大8、国公立大50、難関私立大55
駒場高校,センター試験,5教科7科目で受験する者の在籍者に占める割合,5教科7科目で受験する者の在籍者に占める割合29％（93名）,32%（102人）,32%（102人）
駒場高校,センター試験,難関国立大学等に合格可能な得点水準(80%）以上の者の受験者に占める割合,難関国立大学等に合格可能な得点水準(80%）以上の者の受験者に占める割合 2％（6名）,2.5%（8人）,2.5%（8人）
駒場高校,合格実績,難関国立大学、国公立大学、難関私立大学等の現役合格者,難関国立大学1、国公立大学43、難関私立大学（早慶上智）44,難関国立大学2、国公立大学45、難関私立大学（早慶上智）46,難関国立大学2、国公立大学45、難関私立大学（早慶上智）46
新宿高校,センター試験,5教科7科目で受験する者の在籍者に占める割合,90/320=28.42%,94/320=29.45％,120（最低3クラス分）/320=37.5％
新宿高校,センター試験,難関国立大学等に合格可能な得点水準(80%）以上の者の受験者に占める割合,10/100=10.0％,12/120＝10.0％,15/120＝12.50％
新宿高校,合格実績,難関国立大学、国公立大学、難関私立大学等の現役合格者,"難関国立大5（内、最難関大4）、国公立大40、早慶上理90, GMARCH210",難関国立大7（内、最難関大5）、国公立大45、早慶上理95 GMARCH220,難関国立大12（内、最難 関大10）、国公立大50、早慶上理100 GMARCH230
町田高校,センター試験,5教科7科目で受験する者の在籍者に占める割合,29.0%（70名）,30.0%（75名）,32.0%（100名）
町田高校,センター試験,難関国立大学等に合格可能な得点水準（80％）以上の者の受験者に占める割合,2.1%（5名）,2.4%（6名）,2.5%（8名）
町田高校,合格実績,難関国立大学、国公立大学、難関私立大学等の現役合格者,国公立大 25、早慶上智12、ＭＡＲＣＨ130,国公立大 28、早慶上智14、ＭＡＲＣＨ 140,国公立大 35、早慶上智18、ＭＡＲＣＨ 165
国分寺高校,センター試験,5教科（6・7科目）で受験する者の在籍者に占める割合,22年度は、315人中120人（38％）が5教科（6・7科目）受験予定,23年度は、315人中140人（44％）の5教科（6・7科目）受験を目標とする。,24年度は、315人中160人（50％）の生徒の5教科（6・7科目）受験を目標とする。
国分寺高校,センター試験,難関国立大学等に合格可能な得点水準(80%）以上の者の受験者に占める割合,22年度は、合格可能得点水準80％以上の者は、国語100人、数学50人、英語90人、地歴50人、公民20 人、理科60人を目標とす  る。,23年度は、合格可能得点水準80％以上の者は、国語110人、数学60人、英語100人、地歴60人、公民25 人、理科60人を目標とす  る。,24年度は、合格可能得点水準80％以上の者は、国語120人、数学65人、英語120人、地歴65人、公民30 人、理科65人を目標とす  る。
国分寺高校,合格実績,難関国立大学、国公立大学、難関私立大学等の現役合格者,国公立大学は東大・一橋大・東工大などの難関大10人を含む70人の現役合格を目標とする。早稲田・慶應・上智などの難関私立大60人の現役合格を目標とする。,国公立大学は東大・一橋大・東工大などの難関大10人を含む80人の現役合格を目標とする。早稲田・慶應・上智などの難関私立大70人の現役合格を目標とする。,国公立大学は東大・一橋大・東工大などの難関大10人を含む90人の現役合格を目標とする。早稲田・慶應・上智などの難関私立大80人の現役合格を目標とする。
