職層,管理職・校長,管理職・副校長,管理職計,監督職・主幹,監督職計,一般職・教諭等,一般職計,合計
人数（人）,2255,2565,4820,3726,3726,47199,47199,55745
構成割合（%）,4.0,4.6,8.6,6.7,6.7,84.7,84.7,100.0
