校種,必要数（完成時）（人）,配置数実績（人）,充足率（％）
小学校,2275,1530,67.3
中学校,1687,1409,83.5
高等学校,1292,713,55.2
特別支援学校,260,209,80.4
合計,5514,3861,70.0
注）高等学校には中等教育学校を含む。,,,
注）必要数（完成時）は、平成１９年度配置数見直し後の数値である。,,,
注）充足率は必要数（完成時）に対するものである。,,,
