選択肢,回答数（人）,対回答者割合（%）
1 ジョブローテーションの一環として指導主事等になっているから,207,56.9
2 Ａ選考は、任用の際に教科の専門性が考慮されないから,202,55.5
3 在職年数が短いから,79,21.7
4 任用前の研修が不十分であるから,53,14.6
5 年齢的に若いから,46,12.6
6 学校現場での体験が十分でないから,147,40.4
7 指導主事に求められるものが高度になったから,52,14.3
8 以前は副校長格指導主事等がいて育成をしていたから,44,12.1
9 研修が十分に用意されていないから,20,5.5
10 Ａ選考と指導主事等とでは求められる資質・能力が違うから,132,36.3
11 その他,24,6.6
合計,1006,
＜回答者数＞,364,100.0
