区分,開校年度（平成）,完成年度（平成）,22年度現在在籍学年
富士高等学校・附属中学校,22,27,中学第1学年まで
大泉高等学校・附属中学校,22,27,中学第1学年まで
白鴎高等学校・附属中学校,17,22,高校第3学年まで
両国高等学校・附属中学校,18,23,高校第2学年まで
武蔵高等学校・附属中学校,20,25,中学第3学年まで
桜修館中等教育学校,18,23,第5学年まで
小石川中等教育学校,18,23,第5学年まで
南多摩中等教育学校,22,27,第1学年まで
立川国際中等教育学校,20,25,第3学年まで
三鷹中等教育学校,22,27,第1学年まで
注）平成22年4月1日現在,,,
