区市町村名,学校名,科名,対象,募集人員（男女問わず）,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率
目黒,国際,国際,一般生徒,98,55,208,263,2.68
目黒,国際,国際,日本人学校の海外帰国生徒,15,8,27,35,2.33
目黒,国際,国際,外国の学校の海外帰国生徒,25,24,24,48,1.92
目黒,国際,計,,138,87,259,346,2.51
大島,大島海洋国際,海洋国際,,56,63,7,70,1.25
国際計,,,,194,150,266,416,2.14
