,校務改善の推進（%）
１１ 自由な雰囲気,96.3
１２ コミュニケ―ション,92.6
１３ 職員への感謝,92.6
１４ 職員に任せる,74.1
１５ 提案に耳を傾ける,100.0
１６ もち味の理解,96.3
１７ ほめる,100.0
１８ 職員への配慮,81.5
１９ 自己実現への支援,100.0
２０ 職員への奉仕,92.6
