新聞名,開架期間,原紙保存期間,備考
月刊FECNEWS,1年,4年,
FujiSankeiBusinessI,3ヵ月,4年,
TheHarmonyCenter,1年,4年,
朝日写真ニュース,1年,4年,
週刊医学界新聞,1年,4年,
解放新聞,1年,縮刷版が入るまで,縮刷版あり
化学工業日報,3ヵ月,4年,
科学新聞,1年,4年,
株式新聞,3ヵ月,4年,縮刷版あり
環境新聞,1年,縮刷版が入るまで,縮刷版あり
観光経済新聞,1年,4年,
教育家庭新聞,1年,4年,
教育新聞,1年,4年,
橋梁新聞,1年,4年,
健康産業流通新聞,1年,4年,
建設通信新聞,3ヵ月,4年,
佼成新聞,1年,4年,
交通新聞,6ヵ月,縮刷版が入るまで,縮刷版あり
ゴムタイムス,1年,4年,
コンビニエンスストア新聞,1年,4年,
週刊読書人,1年,合本版が入るまで,縮刷版あり
住宅新報,1年,4年,
浄土宗新聞,1年,4年,
シルバー産業新聞,1年,4年,
シルバー新報,1年,4年,
神社新報,1年,縮刷版が入るまで,縮刷版あり
新宗教新聞,1年,4年,
新美術新聞,1年,4年,
新文化,1年,縮刷版が入るまで,縮刷版あり
新聞協会報,1年,4年,
人民新聞,1年,4年,
すこやか健保,1年,4年,
聖教新聞,3ヵ月,4年,
生産性新聞,1年,4年,
政府刊行物新聞,1年,4年,
赤十字新聞,1年,4年,
セキュリティー産業新聞,1年,4年,
繊維ニュース,6ヵ月,4年,
繊研新聞,3ヵ月,CD-ROM版（～2014年3月）、以降は4年分,CD-ROM版あり
全国珠算新聞,1年,4年,
全労連,1年,4年,
地域と人権,1年,4年,
通信文化新報,1年,4年,
通販新聞,1年,4年,
帝国タイムス,1年,4年,
定通教育,1年,4年,
鉄鋼新聞,4ヵ月,4年,
点字毎日活字版,1年,4年,
電気新聞,4ヵ月,4年,
電経新聞,1年,4年,
電子デバイス産業新聞,1年,4年,
電波新聞,3ヵ月,CD-ROM版が入るまで,CD-ROM版あり
電波新聞ハイテクノロジー,1年,4年,
天理時報,1年,4年,
統一日報,1年,4年,
東京IT新聞,1年,4年,
図書新聞,1年,合本版が入るまで,縮刷版あり
塗料界新報,1年,4年,
日刊建設工業新聞,3ヵ月,4年,
日刊工業新聞,3ヵ月,CD-ROM版が入るまで,CD-ROM版あり
日刊自動車新聞,3ヵ月,CD-ROM版が入るまで,CD-ROM版あり
ニッキン,1年,縮刷版が入るまで,縮刷版あり
日経産業新聞,3ヵ月,縮刷版が入るまで,"縮刷版あり
CD-ROM版あり"
日経写真ニュース,1年,4年,
日経ヴェリタス,6ヵ月,4年,
日経流通新聞,4ヵ月,縮刷版が入るまで,"縮刷版あり
CD-ROM版あり"
ニッポン消費者新聞,1年,4年,
日本消費経済新聞,1年,4年,
日本PTA,1年,4年,
日本海事新聞,6ヵ月,4年,
日本教育新聞,1年,縮刷版が入るまで,縮刷版あり
日本経団連タイムス,1年,4年,
日本種苗新聞,1年,4年,
日本証券新聞,3ヵ月,縮刷版が入るまで,縮刷版あり
日本食糧新聞,4ヵ月,4年,
日本と中国,1年,4年,
日本農業新聞,3ヵ月,CD-ROM版が入るまで,"縮刷版あり
CD-ROM版あり"
日本プレハブ新聞,1年,4年,
日本流通産業新聞,1年,4年,
ふぇみん,1年,4年,
福祉新聞,1年,4年（2017年4月～）,
不登校新聞,1年,4年,
文化通信,1年,4年,
保険毎日新聞,6ヵ月,4年,
マンション管理新聞,1年,4年,
民団新聞,1年,4年,
薬事日報,6ヵ月,4年,
