区分,各所からの学校施設利用申請の処理受付,各所からの学校施設利用申請の処理調整・決定,各所からの学校施設利用申請の処理結果連絡,学校開放当日の業務鍵の貸出,学校開放当日の業務解錠,学校開放当日の業務管理・監督,学校開放当日の業務利用後の点検,学校開放当日の業務施錠,その他問合せ・受付
0.教職員校長,3,4,1,0,0,0,0,0,2
0.教職員副校長,24,24,22,7,5,7,9,7,23
0.教職員規定なし,8,6,5,7,6,5,5,5,7
1.行政職員,29,35,36,12,9,10,10,9,47
2.シルバー人材,4,1,4,30,27,25,30,29,1
3.外部業者,7,5,6,13,15,11,12,16,5
4.保護者・地域組織,2,2,2,4,3,5,4,5,3
5.その他,6,5,4,12,17,11,13,13,4
6.教委として定めていない,4,4,5,8,7,13,8,7,3
