学科等,,,校数,併設校を含めた延学校数,年度（平成）,募集人員(A),応募人員(B)／男,応募人員(B)／女,応募人員(B)／計,取下げ人員(C)／女,取下げ人員(C)／女,取下げ人員(C)／計,再提出人員(D)／女,再提出人員(D)／女,再提出人員(D)／計,最終応募人員(E)／女,最終応募人員(E)／女,最終応募人員(E)／計,最終応募倍率(E/A)／計
"全
日
制",普通科,普通科(コース、単位制以外),27,,29,932,748,536,1284,51,26,77,42,19,61,739,529,1268,1.36
"全
日
制",普通科,普通科(コース、単位制以外),27,,28,1020,666,586,1252,18,18,36,19,19,38,667,587,1254,1.23
"全
日
制",普通科,普通科(コース制),0,1,29,15,5,11,16,0,0,0,2,0,2,7,11,18,1.20
"全
日
制",普通科,普通科(コース制),0,1,28,15,3,9,12,0,0,0,1,1,2,4,10,14,0.93
"全
日
制",普通科,普通科(単位制),1,,29,2,2,0,2,0,0,0,0,0,0,2,0,2,1.00
"全
日
制",普通科,普通科(単位制),1,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
"全
日
制",普通科,普通科合計,28,29,29,949,755,547,1302,51,26,77,44,19,63,748,540,1288,1.36
"全
日
制",普通科,普通科合計,28,29,28,1035,669,595,1264,18,18,36,20,20,40,671,597,1268,1.23
"全
日
制","専
門
学
科",商業科,2,,29,28,10,11,21,0,0,0,10,9,19,20,20,40,1.43
"全
日
制","専
門
学
科",商業科,2,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
"全
日
制","専
門
学
科",工業科(単位制以外の学校),4,,29,67,92,12,104,4,0,4,3,0,3,91,12,103,1.54
"全
日
制","専
門
学
科",工業科(単位制以外の学校),4,,28,87,138,14,152,3,1,4,2,2,4,137,15,152,1.75
"全
日
制","専
門
学
科",工業科(単位制の学校),0,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
"全
日
制","専
門
学
科",工業科(単位制の学校),0,,28,5,4,2,6,0,0,0,0,0,0,4,2,6,1.20
"全
日
制","専
門
学
科",家庭科,0,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
"全
日
制","専
門
学
科",家庭科,0,,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00
"全
日
制","専
門
学
科",芸術科,0,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
"全
日
制","専
門
学
科",芸術科,0,,28,1,1,5,6,0,0,0,0,0,0,1,5,6,6.00
"全
日
制","専
門
学
科",体育科,1,,29,8,7,2,9,0,0,0,3,0,3,10,2,12,1.50
"全
日
制","専
門
学
科",体育科,1,,28,8,8,1,9,0,0,0,1,0,1,9,1,10,1.25
"全
日
制","専
門
学
科",国際科,0,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
"全
日
制","専
門
学
科",国際科,0,,28,7,4,0,4,0,0,0,1,0,1,5,0,5,0.71
"全
日
制","専
門
学
科",併合科,0,3,29,86,0,0,0,0,0,0,0,0,0,0,0,0,0.00
"全
日
制","専
門
学
科",併合科,0,3,28,83,0,0,0,0,0,0,0,0,0,0,0,0,0.00
"全
日
制","専
門
学
科",専門学科合計,7,10,29,189,109,25,134,4,0,4,16,9,25,121,34,155,0.82
"全
日
制","専
門
学
科",専門学科合計,7,10,28,193,155,22,177,3,1,4,4,2,6,156,23,179,0.93
"全
日
制",全日制合計,,35,39,29,1138,864,572,1436,55,26,81,60,28,88,869,574,1443,1.27
"全
日
制",全日制合計,,35,39,28,1228,824,617,1441,21,19,40,24,22,46,827,620,1447,1.18
定時制課程単位制普通科（一橋高校・浅草高校・荻窪高校・八王子拓真高校・砂川高校）,,,5,,29,608,505,359,864,13,4,17,8,2,10,500,357,857,1.41
定時制課程単位制普通科（一橋高校・浅草高校・荻窪高校・八王子拓真高校・砂川高校）,,,5,,28,608,405,325,730,18,5,23,15,2,17,402,322,724,1.19
注）校数については複数の学科を併設している学校は、その学校の主たる学科において算入した。,,,,,,,,,,,,,,,,,,,
