,小学校(％),中学校(％),高校(％)
集団活動の指導,86.4,76.0,72.9
教科の指導場面,84.3,74.2,60.1
友達との関係についての指導,83.9,75.5,69.3
班など小規模グループでの指導,82.9,70.2,61.6
荷物の整理や持ち物管理等の指導,75.4,66.1,51.9
進学・就学の充実,,,67.3
