,平成１８年度,平成１９年度,平成２０年度
有資格者数（人）,27428,26456,25226
応募者数（人）,517,580,588
合格予定者数（人）,1000,900,900
注）応募者数は、当初申し込み時点での人数である。,,,
注）実際の合格者数は、合格予定者数と異なる。,,,
