区市町村名,学校名(科名),"内容
（種目等）",募集人員／男,募集人員／女,募集人員／計,応募人員／男,応募人員／男／特別推薦のみ,応募人員／女,応募人員／女／特別推薦のみ,応募人員／計,応募人員／計／特別推薦のみ,合格人員／男,合格人員／男／特別推薦のみ,合格人員／女,合格人員／女／特別推薦のみ,合格人員／計,合格人員／計／特別推薦のみ
文京,向丘,剣道,2,2,4,6,5,2,1,8,6,2,2,2,1,4,3
文京,向丘,バレーボール,-,3,3,-,-,2,2,2,2,-,-,1,1,1,1
文京,向丘,計,,,7,6,5,4,3,10,8,2,2,3,2,5,4
台東,上野,バレーボール,3,-,3,3,1,-,-,3,1,3,1,-,-,3,1
墨田,日本橋,ボート,,,2,0,0,0,0,0,0,0,0,0,0,0,0
江東,城東,硬式野球,3,-,3,23,5,-,-,23,5,3,0,-,-,3,0
江東,城東,サッカー,3,-,3,15,8,-,-,15,8,2,1,-,-,2,1
江東,城東,なぎなた,-,1,1,-,-,1,1,1,1,-,-,1,1,1,1
江東,城東,バスケットボール,3,2,5,5,1,4,3,9,4,3,1,2,2,5,3
江東,城東,バレーボール,-,3,3,-,-,5,1,5,1,-,-,3,1,3,1
江東,城東,陸上競技,,,4,0,0,3,1,3,1,0,0,3,1,3,1
江東,城東,計,,,19,43,14,13,6,56,20,8,2,9,5,17,7
江東,深川（普通科）,剣道,,,3,0,0,2,2,2,2,0,0,2,2,2,2
江東,深川（普通科）,サッカー,2,-,2,13,6,-,-,13,6,2,1,-,-,2,1
江東,深川（普通科）,計,,,5,13,6,2,2,15,8,2,1,2,2,4,3
品川,大崎,バスケットボール,5,-,5,11,3,-,-,11,3,5,1,-,-,5,1
品川,八潮,合唱,,,5,2,1,1,0,3,1,1,0,1,0,2,0
品川,八潮,和太鼓,,,3,0,0,3,0,3,0,0,0,3,0,3,0
品川,八潮,軟式野球,5,-,5,2,1,-,-,2,1,2,1,-,-,2,1
品川,八潮,計,,,13,4,2,4,0,8,2,3,1,4,0,7,1
目黒,目黒,硬式野球,3,-,3,4,0,-,-,4,0,3,0,-,-,3,0
目黒,目黒,バスケットボール,2,3,5,3,2,8,3,11,5,0,0,3,1,3,1
目黒,目黒,計,,,8,7,2,8,3,15,5,3,0,3,1,6,1
大田,大森,吹奏楽,,,3,2,0,4,2,6,2,0,0,3,2,3,2
大田,大森,硬式野球,3,-,3,3,0,-,-,3,0,3,0,-,-,3,0
大田,大森,バレーボール,-,3,3,-,-,5,1,5,1,-,-,3,1,3,1
大田,大森,計,,,9,5,0,9,3,14,3,3,0,6,3,9,3
大田,雪谷,硬式野球,3,-,3,9,1,-,-,9,1,3,1,-,-,3,1
大田,雪谷,チアリーディング,-,3,3,-,-,15,5,15,5,-,-,3,1,3,1
大田,雪谷,計,,,6,9,1,15,5,24,6,3,1,3,1,6,2
世田谷,千歳丘,合唱,,,2,0,0,3,0,3,0,0,0,2,0,2,0
世田谷,千歳丘,硬式野球,6,-,6,2,2,-,-,2,2,2,2,-,-,2,2
世田谷,千歳丘,卓球,1,-,1,1,1,-,-,1,1,1,1,-,-,1,1
世田谷,千歳丘,計,,,9,3,3,3,0,6,3,3,3,2,0,5,3
世田谷,深沢,バレーボール,3,3,6,4,1,5,0,9,1,3,1,3,0,6,1
世田谷,松原,バスケットボール,2,2,4,7,5,1,0,8,5,1,1,1,0,2,1
世田谷,松原,硬式テニス,-,3,3,-,-,4,1,4,1,-,-,2,0,2,0
世田谷,松原,計,,,7,7,5,5,1,12,6,1,1,3,0,4,1
渋谷,広尾,硬式野球,3,-,3,15,5,-,-,15,5,3,0,-,-,3,0
渋谷,広尾,バスケットボール,3,3,6,10,2,5,2,15,4,3,2,3,2,6,4
渋谷,広尾,計,,,9,25,7,5,2,30,9,6,2,3,2,9,4
中野,鷺宮,書道,,,2,1,0,9,5,10,5,0,0,2,2,2,2
中野,鷺宮,剣道,,,3,1,1,0,0,1,1,0,0,0,0,0,0
中野,鷺宮,硬式野球,3,-,3,9,5,-,-,9,5,3,3,-,-,3,3
中野,鷺宮,サッカー,3,-,3,11,6,-,-,11,6,3,1,-,-,3,1
中野,鷺宮,バスケットボール,2,2,4,10,2,3,0,13,2,2,1,2,0,4,1
中野,鷺宮,計,,,15,32,14,12,5,44,19,8,5,4,2,12,7
中野,富士,剣道,,,4,3,2,6,3,9,5,1,1,3,2,4,3
中野,武蔵丘,硬式野球,3,-,3,4,1,-,-,4,1,3,1,-,-,3,1
中野,武蔵丘,サッカー,3,-,3,3,3,-,-,3,3,2,2,-,-,2,2
中野,武蔵丘,計,,,6,7,4,-,-,7,4,5,3,-,-,5,3
杉並,杉並,硬式野球,3,-,3,7,2,-,-,7,2,3,0,-,-,3,0
杉並,杉並,サッカー,3,-,3,9,5,-,-,9,5,0,0,-,-,0,0
杉並,杉並,水泳,,,2,7,2,1,1,8,3,1,1,1,1,2,2
杉並,杉並,バスケットボール,2,-,2,7,3,-,-,7,3,2,1,-,-,2,1
杉並,杉並,計,,,10,30,12,1,1,31,13,6,2,1,1,7,3
杉並,豊多摩,剣道,,,2,3,3,1,0,4,3,1,1,1,0,2,1
杉並,豊多摩,硬式野球,2,-,2,6,2,-,-,6,2,2,1,-,-,2,1
杉並,豊多摩,ラグビー,2,-,2,4,1,-,-,4,1,2,0,-,-,2,0
