区市町村名,施設区分,施設名,所在地,緯度,経度,座標系,経度,緯度,座標系,電話番号,備考
日の出町,図書館,日の出町立図書館（本館）,日の出町平井2780,35.742443,139.256607,JGD2011,,,,042-597-3496,
日の出町,図書館,日の出町立図書館大久野分室,日の出町大字大久野1167-6,35.749889,139.231094,JGD2011,,,,042-597-5747,
日の出町,博物館類似施設,小さな蔵の資料館,日の出町大字大久野4090-2,35.769436,139.209503,JGD2011,,,,042-588-7320,
日の出町,その他の施設,本宿地区学習等供用施設,日の出町大字平井2144,35.737881,139.256012,JGD2011,,,,042ｰ597-5490,
日の出町,その他の施設,日の出町やまびこホール,日の出町大字大久野1165-2,35.749889,139.231094,JGD2011,,,,042－597-2256,
