区市町村名,学校名,コース名,募集人員(男女問わず）,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率
江東,深川,外国語,56,28,93,121,2.16
練馬,田柄,外国文化,29,7,16,23,0.79
八王子,片倉,造形美術,56,22,48,70,1.25
八王子,松が谷,外国語,56,31,76,107,1.91
小平,小平,外国語,56,17,100,117,2.09
あきる野,五日市,ことばと情報,55,26,22,48,0.87
コース制計,,,308,131,355,486,1.58
