,小学校副校長の勤務時間,小学校副校長の業務内訳／校務（％）,調査（％）,行政・業者対応（％）,地域・PTA・保護者対応（％）,教務（％）,その他（％）
勤務日業務時間（１日平均）,12時間19分,56,8,6,11,12,7
休日勤務時間（出勤した時の１日平均）,4時間7分,43,15,3,27,2,10
注）平成22年度東京都教育庁調べ,,,,,,,
