,好き（％）,どちらかといえば好き（％）,どちらかといえばきらい（％）,きらい（％）,無回答（％）
全体,40.1,35.8,14.2,7.4,2.5
小１,66.2,20.8,4.9,5.6,2.5
小２,60.0,27.9,6.2,4.1,1.8
小３,54.1,32.2,8.3,3.6,1.8
小４,51.5,34.3,8.8,3.4,1.9
小５,46.3,36.4,11.1,4.1,1.5
小６,42.6,37.2,13.3,5.3,1.6
中１,39.2,37.2,15.7,6.2,1.8
中２,36.5,38.0,15.5,7.4,2.5
中３,37.4,37.0,15.0,7.7,3.0
高１,34.8,38.5,16.3,8.5,2.2
高２,31.4,38.2,17.6,9.7,3.1
高３,37.6,35.5,15.3,8.1,3.3
高４,28.4,33.5,25.0,11.4,1.7
