,1冊以上読んでいる児童・生徒（％）,未読者（％）
身近な人に本を読んでもらったことがある,60.9,30.9
身近な人に本を読んであげたことがある,32.1,9.5
身近な人と図書館や書店に行くことがある,60.3,23.7
身近な人と本の話をすることがある,49.9,13.8
家の中に本がある,92.1,69.6
学級文庫を利用している,36.4,5.4
どれにも当てはまらない,2.6,20.2
無回答,1.3,3.3
