学科,,,第１学年相当,第２学年相当以上,計,備考
普通科,,募集人員,37,1366,1403,
普通科,,募集校延べ数,6,9,9,
専門学科,工業科,募集人員,24,74,98,
専門学科,工業科,募集校延べ数,1,1,1,六郷工科普通科併置
専門学科,情報科,募集人員,0,15,15,
専門学科,情報科,募集校延べ数,0,1,1,新宿山吹普通科併置
専門学科,専門学科計,募集人員,24,89,113,
専門学科,専門学科計,募集校延べ数,1,2,2,
総合学科,,募集人員,59,667,726,
総合学科,,募集校延べ数,7,7,7,
単位制計,,募集人員,120,2122,2242,
単位制計,,募集校延べ数,14,18,18,募集校実数16校
