,小５,小６,中１,中２,中３
一人でどこかへ出かけたい,41.5,38.3,47.5,44.5,45.9
一人でテレビをみたい,31.8,33.0,32.6,25.8,31.8
一人でゲームをしたい,32.8,33.3,29.5,25.7,27.8
寝ていたい,39.3,41.5,56.3,56.7,63.7
勉強したい,13.0,11.9,9.7,9.9,11.3
スポーツ活動をしたい,41.7,39.6,38.7,31.9,33.7
家の人と話がしたい,19.0,19.2,13.1,6.0,6.4
学校の先生と話がしたい,6.3,6.1,3.7,2.1,3.3
友だちと話がしたい,47.1,47.8,54.2,44.1,48.3
友だちと遊びたい,82.3,82.0,71.2,71.0,64.5
その他,18.0,20.6,14.9,15.7,15.7
