新聞名,開架期間,原紙保存期間,備考
朝日新聞,3ヵ月,縮刷版が入るまで,縮刷版あり
産経新聞,3ヵ月,4年,マイクロフィルムあり
東京新聞,3ヵ月,4年,マイクロフィルムあり
日本経済新聞,3ヵ月,縮刷版が入るまで,縮刷版あり
毎日新聞,3ヵ月,縮刷版が入るまで,縮刷版あり
読売新聞,3ヵ月,縮刷版が入るまで,縮刷版あり
