,よくある,時々ある,ない
中３,48.8,26.2,24.9
中２,49.7,27.8,22.5
中１,59.0,25.5,15.4
小６,68.1,20.6,11.3
小５,67.7,20.9,11.4
合計,58.8,24.2,17.0
