区市町村名,学校名,科名,募集人員（男女問わず）(A),最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)
世田谷,園芸,園芸,49,24,26,50,1.02
世田谷,園芸,食品,25,17,30,47,1.88
世田谷,園芸,動物,25,21,55,76,3.04
世田谷,園芸,計,99,62,111,173,1.75
杉並,農芸,園芸科学,25,16,16,32,1.28
杉並,農芸,食品科学,49,20,46,66,1.35
杉並,農芸,緑地環境,25,18,8,26,1.04
杉並,農芸,計,99,54,70,124,1.25
葛飾,農産,園芸ﾃﾞｻﾞｲﾝ,49,35,29,64,1.31
葛飾,農産,食品,49,23,38,61,1.24
葛飾,農産,計,98,58,67,125,1.28
府中,農業,都市園芸,25,19,19,38,1.52
府中,農業,食品科学,25,11,20,31,1.24
府中,農業,緑地計画,25,22,11,33,1.32
府中,農業,計,75,52,50,102,1.36
瑞穂,瑞穂農芸,園芸科学,25,18,16,34,1.36
瑞穂,瑞穂農芸,畜産科学,25,8,22,30,1.20
瑞穂,瑞穂農芸,食品,25,12,16,28,1.12
瑞穂,瑞穂農芸,計,75,38,54,92,1.23
農業計,,,446,264,352,616,1.38
