学科・区分,,,校数,延学校数,年度（平成）,募集人員(A)／男,募集人員(A)／女,募集人員(A)／計,受検人員(B)／男,受検人員(B)／女,受検人員(B)／計,合格人員(C)／男,合格人員(C)／女,合格人員(C)／計,実質倍率(B/C)／男,実質倍率(B/C)／女,実質倍率(B/C)／計
"全
日
制","普
通
科",普通科(ｺｰｽ、単位制、島しょ、海外帰国生徒対象以外)計,106,,29,11422,10502,21924,16651,15997,32648,11367,10890,22257,1.46,1.47,1.47
"全
日
制","普
通
科",普通科(ｺｰｽ、単位制、島しょ、海外帰国生徒対象以外)計,106,,28,11468,10434,21902,16523,16264,32787,11360,10915,22275,1.45,1.49,1.47
"全
日
制","普
通
科",普通科(島しょ)計,6,,29,175,175,350,64,48,112,64,48,112,1.00,1.00,1.00
"全
日
制","普
通
科",普通科(島しょ)計,6,,28,175,175,350,50,67,117,50,67,117,1.00,1.00,1.00
"全
日
制","普
通
科",普通科(ｺｰｽ、単位制、海外帰国生徒対象以外及び島しょ）計,112,,29,11597,10677,22274,16715,16045,32760,11431,10938,22369,1.46,1.47,1.46
"全
日
制","普
通
科",普通科(ｺｰｽ、単位制、海外帰国生徒対象以外及び島しょ）計,112,,28,11643,10609,22252,16573,16331,32904,11410,10982,22392,1.45,1.49,1.47
"全
日
制","普
通
科",ｺｰｽ制計,1,6,29,,,308,135,331,466,93,222,315,,,1.48
"全
日
制","普
通
科",ｺｰｽ制計,1,6,28,,,308,111,323,434,82,233,315,,,1.38
"全
日
制","普
通
科",単位制計,11,,29,,,2242,1343,1906,3249,938,1333,2271,,,1.43
"全
日
制","普
通
科",単位制計,11,,28,,,2210,1379,1865,3244,930,1313,2243,,,1.45
"全
日
制","普
通
科",普通科合計,124,,29,,,24824,18193,18282,36475,12462,12493,24955,,,1.46
"全
日
制","普
通
科",普通科合計,124,,28,,,24770,18063,18519,36582,12422,12528,24950,,,1.47
"全
日
制","専
門
学
科",商業科,9,10,29,,,1481,654,1037,1691,562,909,1471,,,1.15
"全
日
制","専
門
学
科",商業科,9,10,28,,,1484,717,1053,1770,606,899,1505,,,1.18
"全
日
制","専
門
学
科",ビジネスコミュニケーション科,2,,29,,,294,152,224,376,125,173,298,,,1.26
"全
日
制","専
門
学
科",ビジネスコミュニケーション科,2,,28,,,294,134,233,367,111,185,296,,,1.24
"全
日
制","専
門
学
科",工業科(単位制以外),15,,29,,,1816,1913,271,2184,1609,223,1832,,,1.19
"全
日
制","専
門
学
科",工業科(単位制以外),15,,28,,,1814,1794,280,2074,1584,233,1817,,,1.14
"全
日
制","専
門
学
科",工業科（単位制）,1,,29,,,149,141,27,168,129,25,154,,,1.09
"全
日
制","専
門
学
科",工業科（単位制）,1,,28,,,149,123,24,147,120,24,144,,,1.02
"全
日
制","専
門
学
科",科学技術科,2,,29,,,294,355,61,416,269,46,315,,,1.32
"全
日
制","専
門
学
科",科学技術科,2,,28,,,294,363,65,428,267,49,316,,,1.35
"全
日
制","専
門
学
科",農業科,5,,29,,,446,256,347,603,185,274,459,,,1.31
"全
日
制","専
門
学
科",農業科,5,,28,,,446,247,328,575,187,274,461,,,1.25
"全
日
制","専
門
学
科",家庭科(単位制以外),0,2,29,,,99,13,134,147,7,94,101,,,1.46
"全
日
制","専
門
学
科",家庭科(単位制以外),0,2,28,,,99,23,90,113,16,82,98,,,1.15
"全
日
制","専
門
学
科",家庭科（単位制）,0,1,29,,,49,1,68,69,0,51,51,,,1.35
"全
日
制","専
門
学
科",家庭科（単位制）,0,1,28,,,49,0,53,53,0,49,49,,,1.08
"全
日
制","専
門
学
科",福祉科,0,1,29,,,25,14,18,32,10,15,25,,,1.28
"全
日
制","専
門
学
科",福祉科,0,1,28,,,25,12,13,25,12,13,25,,,1.00
"全
日
制","専
門
学
科",芸術科,1,,29,,,112,40,194,234,20,97,117,,,2.00
"全
日
制","専
門
学
科",芸術科,1,,28,,,112,38,193,231,17,99,116,,,1.99
"全
日
制","専
門
学
科",体育科,0,2,29,,,76,69,36,105,51,27,78,,,1.35
"全
日
制","専
門
学
科",体育科,0,2,28,,,76,76,21,97,60,18,78,,,1.24
"全
日
制","専
門
学
科",国際科,2,,29,,,154,105,188,293,68,94,162,,,1.81
"全
日
制","専
門
学
科",国際科,2,,28,,,154,98,194,292,59,95,154,,,1.90
"全
日
制","専
門
学
科",併合科,0,3,29,,,105,13,6,19,13,6,19,,,1.00
"全
日
制","専
門
学
科",併合科,0,3,28,,,105,10,12,22,10,12,22,,,1.00
"全
日
制","専
門
学
科",産業科,2,,29,,,295,209,231,440,144,159,303,,,1.45
"全
日
制","専
門
学
科",産業科,2,,28,,,295,205,198,403,157,147,304,,,1.33
"全
日
制","専
門
学
科",専門学科合計,39,,29,,,5395,3935,2842,6777,3192,2193,5385,,,1.26
"全
日
制","専
門
学
科",専門学科合計,39,,28,,,5396,3840,2757,6597,3206,2179,5385,,,1.23
"全
日
制",総合学科,,10,,29,,,1668,841,1416,2257,637,1053,1690,,,1.34
"全
日
制",総合学科,,10,,28,,,1668,903,1331,2234,682,1009,1691,,,1.32
"全
日
制",全日制合計,,173,,29,,,31887,22969,22540,45509,16291,15739,32030,,,1.42
"全
日
制",全日制合計,,173,,28,,,31834,22806,22607,45413,16310,15716,32026,,,1.42
一橋・新宿山吹・浅草・荻窪・八王子拓真・砂川高校（定時制課程単位制）,,,6,,29,,,775,538,579,1117,286,393,679,,,1.65
一橋・新宿山吹・浅草・荻窪・八王子拓真・砂川高校（定時制課程単位制）,,,6,,28,,,775,554,480,1034,345,341,686,,,1.51
定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,,,5,6,29,,,925,733,677,1410,408,491,899,,,1.57
定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,,,5,6,28,,,925,651,652,1303,398,498,896,,,1.45
注）募集人員は転勤者生徒特別枠、転入学者特別枠、推薦入学手続者、連携型入学手続者、在京外国人生徒対象、国際バカロレアコース、海外帰国生徒対象（帰国生徒対象・引揚生徒対象）及び分割後期募集の人員を除いた数である。,,,,,,,,,,,,,,,,,
