区市町村名,学校名,募集人員／男,募集人員／女,募集人員／計,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率／男,１日目の応募倍率／女,１日目の応募倍率／計
千代田,日比谷,132,122,254,289,260,549,2.19,2.13,2.16
港,三田,124,114,238,249,251,500,2.01,2.20,2.10
新宿,戸山,149,136,285,268,225,493,1.80,1.65,1.73
文京,竹早,93,85,178,190,214,404,2.04,2.52,2.27
文京,向丘,116,106,222,214,239,453,1.84,2.25,2.04
台東,上野,132,121,253,248,189,437,1.88,1.56,1.73
台東,白鴎,31,31,62,46,45,91,1.48,1.45,1.47
墨田,日本橋,102,93,195,136,176,312,1.33,1.89,1.60
墨田,本所,106,97,203,187,176,363,1.76,1.81,1.79
墨田,両国,31,31,62,44,37,81,1.42,1.19,1.31
江東,城東,149,136,285,232,211,443,1.56,1.55,1.55
江東,東,116,107,223,178,172,350,1.53,1.61,1.57
江東,深川,96,89,185,173,143,316,1.80,1.61,1.71
品川,大崎,116,107,223,199,135,334,1.72,1.26,1.50
品川,小山台,132,121,253,210,220,430,1.59,1.82,1.70
品川,八潮,106,96,202,129,90,219,1.22,0.94,1.08
目黒,駒場,116,106,222,208,206,414,1.79,1.94,1.86
目黒,目黒,116,107,223,210,212,422,1.81,1.98,1.89
大田,大森,100,91,191,142,120,262,1.42,1.32,1.37
大田,蒲田,41,38,79,54,41,95,1.32,1.08,1.20
大田,田園調布,87,79,166,180,150,330,2.07,1.90,1.99
大田,雪谷,116,107,223,174,200,374,1.50,1.87,1.68
世田谷,桜町,132,121,253,147,184,331,1.11,1.52,1.31
世田谷,千歳丘,116,107,223,131,139,270,1.13,1.30,1.21
世田谷,深沢,88,80,168,108,129,237,1.23,1.61,1.41
世田谷,松原,82,76,158,118,160,278,1.44,2.11,1.76
渋谷,青山,130,120,250,245,244,489,1.88,2.03,1.96
渋谷,広尾,82,74,156,184,205,389,2.24,2.77,2.49
中野,鷺宮,116,106,222,169,171,340,1.46,1.61,1.53
中野,富士,31,31,62,71,44,115,2.29,1.42,1.85
中野,武蔵丘,132,122,254,221,211,432,1.67,1.73,1.70
杉並,杉並,132,122,254,182,185,367,1.38,1.52,1.44
杉並,豊多摩,132,121,253,316,289,605,2.39,2.39,2.39
杉並,西,132,121,253,242,221,463,1.83,1.83,1.83
豊島,豊島,116,106,222,177,173,350,1.53,1.63,1.58
豊島,文京,149,136,285,300,278,578,2.01,2.04,2.03
荒川,竹台,74,67,141,101,81,182,1.36,1.21,1.29
板橋,板橋,116,107,223,172,194,366,1.48,1.81,1.64
板橋,大山,87,80,167,112,118,230,1.29,1.48,1.38
板橋,北園,132,122,254,289,265,554,2.19,2.17,2.18
板橋,高島,132,121,253,230,216,446,1.74,1.79,1.76
練馬,井草,116,107,223,171,156,327,1.47,1.46,1.47
練馬,大泉,31,31,62,43,37,80,1.39,1.19,1.29
練馬,石神井,132,121,253,239,232,471,1.81,1.92,1.86
練馬,田柄,35,33,68,50,45,95,1.43,1.36,1.40
練馬,練馬,116,107,223,121,126,247,1.04,1.18,1.11
練馬,光丘,114,104,218,149,97,246,1.31,0.93,1.13
足立,青井,75,69,144,82,116,198,1.09,1.68,1.38
足立,足立,132,121,253,192,104,296,1.45,0.86,1.17
足立,足立新田,100,93,193,121,119,240,1.21,1.28,1.24
足立,足立西,82,76,158,117,98,215,1.43,1.29,1.36
足立,足立東,41,38,79,78,64,142,1.90,1.68,1.80
足立,江北,132,121,253,194,164,358,1.47,1.36,1.42
足立,淵江,84,77,161,92,108,200,1.10,1.40,1.24
葛飾,葛飾野,132,122,254,186,124,310,1.41,1.02,1.22
葛飾,南葛飾,68,61,129,133,158,291,1.96,2.59,2.26
江戸川,江戸川,132,122,254,226,199,425,1.71,1.63,1.67
江戸川,葛西南,116,107,223,127,111,238,1.09,1.04,1.07
江戸川,小岩,149,136,285,264,242,506,1.77,1.78,1.78
江戸川,小松川,132,122,254,177,130,307,1.34,1.07,1.21
江戸川,篠崎,106,97,203,178,146,324,1.68,1.51,1.60
江戸川,紅葉川,100,91,191,183,172,355,1.83,1.89,1.86
区部計,,6543,6016,12559,10598,9967,20565,1.62,1.66,1.64
八王子,片倉,100,91,191,148,118,266,1.48,1.30,1.39
八王子,八王子北,83,76,159,122,108,230,1.47,1.42,1.45
八王子,八王子東,132,121,253,151,169,320,1.14,1.40,1.26
八王子,富士森,147,135,282,184,199,383,1.25,1.47,1.36
八王子,松が谷,99,91,190,156,132,288,1.58,1.45,1.52
立川,立川,132,121,253,234,182,416,1.77,1.50,1.64
武蔵野,武蔵,31,31,62,48,49,97,1.55,1.58,1.56
武蔵野,武蔵野北,100,91,191,136,174,310,1.36,1.91,1.62
青梅,多摩,100,91,191,107,119,226,1.07,1.31,1.18
府中,府中,116,106,222,216,168,384,1.86,1.58,1.73
府中,府中西,125,115,240,154,156,310,1.23,1.36,1.29
府中,府中東,116,107,223,151,144,295,1.30,1.35,1.32
昭島,昭和,132,121,253,160,139,299,1.21,1.15,1.18
昭島,拝島,116,107,223,123,124,247,1.06,1.16,1.11
調布,神代,116,106,222,146,165,311,1.26,1.56,1.40
調布,調布北,99,91,190,131,125,256,1.32,1.37,1.35
調布,調布南,100,91,191,200,174,374,2.00,1.91,1.96
町田,小川,132,121,253,157,155,312,1.19,1.28,1.23
町田,成瀬,116,107,223,166,164,330,1.43,1.53,1.48
町田,野津田,50,46,96,81,90,171,1.62,1.96,1.78
町田,町田,132,122,254,193,176,369,1.46,1.44,1.45
町田,山崎,88,80,168,122,80,202,1.39,1.00,1.20
小金井,小金井北,100,91,191,184,181,365,1.84,1.99,1.91
