,日比谷／国,日比谷／数,日比谷／英,西／国,西／数,西／英,戸山／国,戸山／数,戸山／英,八王子東／国,八王子東／数,八王子東／英,青山／国,青山／数,青山／英,立川／国,立川／数,立川／英,国立／国,国立／数,国立／英
平成28年度入学者選抜,◆,●,●,●,●,－,●,●,●,－,－,●,－,－,－,－,－,－,◆,●,●
平成27年度入学者選抜,◆,●,●,●,●,－,●,●,●,－,－,●,－,－,●,－,－,－,●,－,●
平成26年度入学者選抜,●,◆,●,－,●,－,－,－,－,－,－,－,－,－,－,－,●,－,－,▲,－
注）全教科の全大問において、Ａ問題、Ｂ問題の２種類を作成。各学校が大問ごとにＡ問題又はＢ問題を選択,,,,,,,,,,,,,,,,,,,,,
注）●：大問１題の差し替え ◆：大問１題の差し替え＋ 小問一部の差し替え ▲：小問一部の差し替え,,,,,,,,,,,,,,,,,,,,,
