区分,小学校,中学校
勤務日業務時間（１日平均）,１２時間１９分,１１時間２５分
勤務日業務時間勤務時間内,８時間１７分,８時間８分
勤務日業務時間勤務時間外,４時間１分,３時間１７分
休日業務時間（出勤した時の１日平均）,４時間７分,４時間１６分
