学科,,第１学年,区分１,区分２,第２学年,区分１,区分２,第３学年,区分１,区分２,計,備考
普通科,募集人員,607,138,469,962,115,847,1503,118,1385,3072,"田柄・片倉・松が谷・小平…普通科
（コース)併置
／野津田…福祉科及び体育科併置"
普通科,募集校延べ数,125,95,125,121,83,112,124,88,121,128,"田柄・片倉・松が谷・小平…普通科
（コース)併置
／野津田…福祉科及び体育科併置"
商業科,募集人員,20,10,10,122,9,113,149,9,140,291,五日市・・・普通科（コース）併置
商業科,募集校延べ数,10,10,10,10,9,10,10,9,10,10,五日市・・・普通科（コース）併置
"ビジネス
コミュニケーション科",募集人員,4,2,2,14,2,12,37,2,35,55,
"ビジネス
コミュニケーション科",募集校延べ数,2,2,2,2,2,2,2,2,2,2,
工業科,募集人員,31,15,16,323,16,307,477,16,461,831,
工業科,募集校延べ数,16,15,16,16,16,16,16,16,16,16,
科学技術科,募集人員,4,2,2,3,1,2,9,2,7,16,
科学技術科,募集校延べ数,2,2,2,2,1,2,2,2,2,2,
農業科,募集人員,10,5,5,16,3,13,46,5,41,72,
農業科,募集校延べ数,5,5,5,5,3,5,5,5,5,5,
家庭科,募集人員,6,3,3,13,3,10,10,3,7,29,農業・瑞穂農芸・・・農業科併置／忍岡・・・普通科（単位制）併置
家庭科,募集校延べ数,3,3,3,3,3,3,3,3,3,3,農業・瑞穂農芸・・・農業科併置／忍岡・・・普通科（単位制）併置
福祉科,募集人員,2,1,1,9,1,8,11,1,10,22,
福祉科,募集校延べ数,1,1,1,1,1,1,1,1,1,1,
体育科,募集人員,0,0,0,26,0,26,10,0,10,36,
体育科,募集校延べ数,0,0,0,1,0,1,1,0,1,1,
国際科,募集人員,0,0,0,14,0,14,2,0,2,16,
国際科,募集校延べ数,0,0,0,1,0,1,1,0,1,1,
併合科,募集人員,86,0,86,85,0,85,93,0,93,264,大島・三宅・八丈・・・普通科併置
併合科,募集校延べ数,3,0,3,3,0,3,3,0,3,3,大島・三宅・八丈・・・普通科併置
産業科,募集人員,4,2,2,7,2,5,16,2,14,27,
産業科,募集校延べ数,2,2,2,2,2,2,2,2,2,2,
専門学科計,募集人員,167,40,127,632,37,595,860,40,820,1659,
専門学科計,募集校延べ数,44,40,44,46,37,46,46,40,46,46,
総合学科,募集人員,41,20,21,53,17,36,87,20,67,181,
総合学科,募集校延べ数,10,10,10,10,10,10,10,10,10,10,
計,募集人員,815,198,617,1647,169,1478,2450,178,2272,4912,
計,募集校延べ数,179,145,179,177,130,168,180,138,177,184,募集校実数 172校
