項目,全体,全体の検定,小学生,小学生の検定,中学生,中学生の検定
友だちにムカつく,0.84,,0.81,,0.88,
先生にムカつく,0.63,,0.49,,0.79,
家族にムカつく,0.63,,0.56,,0.72,
友だちにムカつく／先生にムカつく,,**,,**,,**
友だちにムカつく／家族にムカつく,,,,**,,
先生にムカつく／家族にムカつく,,**,,**,,**
注）** 1%水準で有意差あり,,,,,,
