,合計,小１,小２,小３,小４,小５,小６,中１,中２,中３,高１,高２,高３,高４
身近な人(家族・先生・友達)に本を読んでもらったことがある。（％）,63.4,93.4,90.7,82.9,76.7,68.1,65.8,55.9,47.9,52.5,52.2,43.5,47.0,38.3
身近な人に本を読んであげることがある。（％）,37.0,67.9,69.2,57.7,43.3,37.9,36.5,32.0,25.3,24.5,23.7,17.5,22.0,18.3
身近な人と一緒に図書館や書店に行くことがある。（％）,59.6,79.0,77.4,71.3,71.7,69.9,71.0,62.9,57.0,54.0,50.7,38.7,40.9,41.7
身近な人と本の話をすることがある。（％）,50.5,60.3,61.0,54.7,54.7,51.5,53.7,47.1,47.7,50.3,48.3,42.5,47.3,43.3
家の中に本がある。（％）,91.1,95.1,96.2,95.1,94.5,94.3,94.6,93.1,91.3,90.8,87.1,84.8,82.5,75.0
学級文庫を利用している。（％）,39.2,85.1,81.6,69.7,60.9,51.1,47.1,27.4,24.2,20.0,6.3,5.6,9.1,8.3
どれもあてはまらない。（％）,2.7,1.9,0.9,0.8,1.1,1.6,1.5,1.8,2.9,2.8,3.5,5.2,3.4,11.7
無回答（％）,2.3,0.4,0.5,1.0,1.1,0.6,0.9,2.3,3.2,3.1,4.3,4.3,7.8,1.7
注）複数回答可,,,,,,,,,,,,,,
