区市町村名,施設区分,施設名,所在地,緯度,経度,座標系,電話番号,備考
中央区,女性/男女平等推進施設,＊?女性センター「ブーケ２１」,中央区湊1-1-1,35.673627,139.779352,JGD2011,03-5543-0651,
港区,女性/男女平等推進施設,＊?男女平等参画センター（リーブラ）,港区芝浦3-1-47,35.645579,139.749012,JGD2011,03-3456-4149,
新宿区,女性/男女平等推進施設,＊?男女共同参画推進センター?「ウィズ新宿｣,新宿区荒木町16,35.691521,139.724823,JGD2011,03-3341-0801,
文京区,女性/男女平等推進施設,＊?文京区男女平等センター,文京区本郷4-8-3,35.708552,139.757477,JGD2011,03-3814-6159,
台東区,女性/男女平等推進施設,＊?台東区立男女平等推進プラザ,台東区西浅草3-25-16,35.717292,139.789902,JGD2011,03-5246-5816,
墨田区,女性/男女平等推進施設,＊?すみだ女性センター,墨田区押上2-12-7-111,35.712682,139.812140,JGD2011,03-5608-1771,
江東区,女性/男女平等推進施設,＊?男女共同参画推進センター（パルシティ江東）,江東区扇橋3-22-2,35.684092,139.820184,JGD2011,03-5683-0341,
品川区,女性/男女平等推進施設,＊?品川区男女共同参画センター,品川区東大井5-18-1,35.606223,139.735889,JGD2011,03-5479-4104,
目黒区,女性/男女平等推進施設,＊?目黒区男女平等・共同参画センター,目黒区中目黒2-10-13,35.640398,139.703099,JGD2011,03-5721-8570,
大田区,女性/男女平等推進施設,＊?男女平等推進センター（エセナおおた）,大田区大森北4-16-4,35.583376,139.726888,JGD2011,03-3766-4586,
世田谷区,女性/男女平等推進施設,＊?男女共同参画センター?らぷらす,世田谷区北沢2-8-18北沢タウンホール9～11階,35.662185,139.669719,JGD2011,03-5478-8021,
渋谷区,女性/男女平等推進施設,＊?渋谷男女平等・ダイバーシティセンター＜アイリス＞,渋谷区桜丘町23-21,35.655458,139.699965,JGD2011,03-3464-3395,
杉並区,女性/男女平等推進施設,＊?杉並区男女平等推進センター,杉並区荻窪1-56-3,35.694542,139.627510,JGD2011,03-3393-4410,
豊島区,女性/男女平等推進施設,＊?男女平等推進センター（エポック10）,豊島区西池袋2-37-4（としま産業振興プラザ3階）,35.727730,139.706734,JGD2011,03-5952-9501,
荒川区,女性/男女平等推進施設,＊?男女平等推進センター（アクト21）,荒川区東尾久5-9-3,35.748265,139.768918,JGD2011,03-3809-2890,
板橋区,女性/男女平等推進施設,＊?男女平等推進センター??スクエアー・I（あい）,板橋区栄町36-1グリーンホール内,35.750841,139.705124,JGD2011,03-3579-2790,
板橋区,女性/男女平等推進施設,＊?男女平等推進センター??スクエアー・I（あい）相談室,板橋区大山東町32-15板橋区保健所内,35.750539,139.708064,JGD2011,03-3579-2188,
練馬区,女性/男女平等推進施設,＊?男女共同参画センター,練馬区石神井町8-1-10,35.745368,139.601726,JGD2011,03-3996-9005,
足立区,女性/男女平等推進施設,＊?足立区男女参画プラザ,足立区梅田7-33-1,35.770654,139.798286,JGD2011,03-3880-5222,
葛飾区,女性/男女平等推進施設,＊?男女平等推進センター,葛飾区立石5-27-1,35.745783,139.846325,JGD2011,03-5698-2211,
江戸川区,女性/男女平等推進施設,＊?人権・男女共同参画センター,江戸川区瑞江2-9-15,35.694897,139.895833,JGD2011,03-5676-2455,
立川市,女性/男女平等推進施設,＊?立川市女性総合センター・アイム,立川市曙町2-36-2,35.702202,139.414096,JGD2011,042-528-6801,
三鷹市,女性/男女平等推進施設,＊?三鷹市女性交流室,三鷹市下連雀3-30-12三鷹市中央通りタウンプラザ4階,35.698112,139.561330,JGD2011,0422-43-7812,
府中市,女性/男女平等推進施設,＊?府中市女性センター,府中市住吉町1-84,35.660139,139.458460,JGD2011,042-351-4600,
町田市,女性/男女平等推進施設,＊?町田市男女平等推進センター,町田市原町田4-9-8,35.541652,139.449926,JGD2011,042-723-2908,
日野市,女性/男女平等推進施設,＊?男女平等推進センター,日野市多摩平2-9多摩平の森ふれあい館2階,35.663339,139.381627,JGD2011,042-584-2733,
国分寺市,女性/男女平等推進施設,＊?男女平等推進センター(ひかりプラザ内),東京都国分寺市光町1-46-8,35.702580,139.444651,JGD2011,042-573-4378,
清瀬市,女性/男女平等推進施設,＊?清瀬市男女共同参画センター（アイレック）,清瀬市元町1-2-11アミュー4階,35.772206,139.521171,JGD2011,042-495-7002,
,,,,,,,,施設名の前に＊印のあるものは、各施設関連情報掲載サイトへのリンクがあります。
