,日本（時間）,平均（時間）
勤務時間の合計,53.9,38.3
授業,17.7,19.3
授業計画・準備,8.7,7.1
課外活動（スポーツ・文化活動）,7.7,2.1
事務業務,5.5,2.9
同僚との共同作業／話し合い,3.9,2.9
学校運営業務,3.0,1.6
注）直近の「通常の1週間」（休暇や休日などによって勤務時間が短くならなかった1週間）において、所属する学校で求められる仕事に従事した時間数を教員に質問。,,
　　週末や夜間など、勤務時間外に行った仕事時間も含まれる。,,
