総業務時間と満足度の傾向,学校の慣習・評判,成長の機会,人間関係,ワークライフバランス,対価,仕事,平均
総業務時間の「短い」副校長の平均（満足度１０点満点）,6.8,4.3,7.2,5.2,5.2,6.2,5.8
総業務時間の「長い」副校長の平均（満足度１０点満点）,6.0,4.2,6.2,3.0,4.2,5.3,4.8
