,毎日している,よくしている,めったにない,まったくない,,,,,,,
中３,63.0,22.0,9.1,6.0,,,,,,,
中２,66.8,14.1,14.1,5.1,,,,,,,
中１,65.8,16.7,12.2,5.3,,,,,,,
小６,69.9,18.3,8.8,2.9,,,,,,,
小５,69.7,19.3,8.4,2.6,,,,,,,
合計,67.1,18.1,10.5,4.4,,,,,,,
