進路先,進学者数(人),進学率(%),中退者数(人),中退率(%),,,,,,,,,,,,,,,
高等学校,122,73,24,20,,,,,,,,,,,,,,,
他種別の養護学校,30,18,0,0,,,,,,,,,,,,,,,
各種学校・専門学校,6,4,1,17,,,,,,,,,,,,,,,
就職,3,2,―,―,,,,,,,,,,,,,,,
その他,6,5,―,―,,,,,,,,,,,,,,,
合計,167,,25,,,,,,,,,,,,,,,,
