選択肢,回答数（人）,対回答者割合（%）
1 積極的に研究会などに参加し、専門性を高める機会を頻繁にもっている,156,34.1
2 月１回程度、地区の教育研究会などに参加し、専門性を高める機会をもっている。,115,25.2
3 あまり積極的に専門性を高める機会をもつことがない。,147,32.2
4 ほとんど専門性を高めるような機会をもつことがない。,39,8.5
合計,457,100.0
