,H19（％）,H21（％）,H23（％）,H25（％）,H27（％）
小2,5.8,5.7,5.0,2.6,3.3
小5,9.0,8.4,9.4,5.4,5.0
中2,23.4,25.0,20.6,13.2,11.1
高2,47.8,55.5,51.6,31.8,36.8
