,発達障害と考えられる児童・生徒数a(人),通級指導学級相当の指導が必要と考えられる児童・生徒数b(人),割合c=b/a(%),通級指導学級利用児童・生徒数d※(人),備考
小学校,33661,16445,48.9,6209,
中学校,11326,3210,28.3,1841,
,,,,,※d欄…公立学校統計(各調査年5月1日現在)の数
