,,該当する（％）,該当しない（％）
読み聞かせ、ブックトーク等のノウハウ,合計,61.3,38.8
読み聞かせ、ブックトーク等のノウハウ,小学校,68.9,31.1
読み聞かせ、ブックトーク等のノウハウ,中学校,54.4,45.8
読み聞かせ、ブックトーク等のノウハウ,高校,41.8,58.2
学校図書館の整備,合計,70.7,29.5
学校図書館の整備,小学校,70.8,29.2
学校図書館の整備,中学校,73.3,27.8
学校図書館の整備,高校,64.2,35.4
公立図書館の活用,合計,62.4,37.9
公立図書館の活用,小学校,62.6,37.4
公立図書館の活用,中学校,65.8,35.4
公立図書館の活用,高校,53.3,46.7
