区市町村名,学校名,募集人員(A)／男,募集人員(A)／女,募集人員(A)／計,最終応募人員(B)／男,最終応募人員(B)／女,最終応募人員(B)／計,最終応募倍率(B/A)／男,最終応募倍率(B/A)／女,最終応募倍率(B/A)／計
千代田,日比谷,132,122,254,326,248,574,2.47,2.03,2.26
港,三田,124,114,238,237,237,474,1.91,2.08,1.99
新宿,戸山,149,136,285,282,233,515,1.89,1.71,1.81
文京,竹早,93,85,178,187,195,382,2.01,2.29,2.15
文京,向丘,116,106,222,215,236,451,1.85,2.23,2.03
台東,上野,132,121,253,246,196,442,1.86,1.62,1.75
台東,白鴎,31,31,62,54,45,99,1.74,1.45,1.60
墨田,日本橋,102,93,195,151,157,308,1.48,1.69,1.58
墨田,本所,106,97,203,181,177,358,1.71,1.82,1.76
墨田,両国,31,31,62,38,37,75,1.23,1.19,1.21
江東,城東,149,136,285,228,209,437,1.53,1.54,1.53
江東,東,116,107,223,186,171,357,1.60,1.60,1.60
江東,深川,96,89,185,157,147,304,1.64,1.65,1.64
品川,大崎,116,107,223,186,135,321,1.60,1.26,1.44
品川,小山台,132,121,253,205,219,424,1.55,1.81,1.68
品川,八潮,106,96,202,133,104,237,1.25,1.08,1.17
目黒,駒場,116,106,222,211,206,417,1.82,1.94,1.88
目黒,目黒,116,107,223,207,209,416,1.78,1.95,1.87
大田,大森,100,91,191,144,122,266,1.44,1.34,1.39
大田,蒲田,41,38,79,58,43,101,1.41,1.13,1.28
大田,田園調布,87,79,166,172,146,318,1.98,1.85,1.92
大田,雪谷,116,107,223,182,207,389,1.57,1.93,1.74
世田谷,桜町,132,121,253,158,190,348,1.20,1.57,1.38
世田谷,千歳丘,116,107,223,142,148,290,1.22,1.38,1.30
世田谷,深沢,88,80,168,109,134,243,1.24,1.68,1.45
世田谷,松原,82,76,158,116,149,265,1.41,1.96,1.68
渋谷,青山,130,120,250,258,250,508,1.98,2.08,2.03
渋谷,広尾,82,74,156,174,182,356,2.12,2.46,2.28
中野,鷺宮,116,106,222,184,170,354,1.59,1.60,1.59
