区市町村名,学校名,,募集人員／男,募集人員／女,募集人員／計,応募人員／男,応募人員／女,応募人員／計,合格人員／男,合格人員／女,合格人員／計
千代田,日比谷,,33,30,63,102,132,234,33,30,63
港,三田,,30,28,58,85,110,195,30,28,58
新宿,戸山,,37,34,71,88,107,195,37,34,71
文京,竹早,,23,21,44,102,135,237,23,21,44
文京,向丘,※,28,26,54,81,134,215,28,26,54
台東,上野,※,33,30,63,94,76,170,33,30,63
台東,白鴎,,8,8,16,16,26,42,8,8,16
墨田,日本橋,※,28,26,54,77,110,187,28,26,54
墨田,本所,,18,16,34,87,87,174,18,16,34
墨田,両国,,8,8,16,10,20,30,8,8,16
江東,城東,※,37,34,71,155,136,291,37,34,71
江東,東,,28,26,54,68,89,157,28,26,54
江東,深川,※,24,22,46,79,87,166,24,22,46
品川,大崎,※,28,26,54,97,77,174,28,26,54
品川,小山台,,33,30,63,93,146,239,33,30,63
品川,八潮,※,28,26,54,61,65,126,28,26,54
目黒,駒場,,28,26,54,80,118,198,28,26,54
目黒,目黒,※,28,26,54,69,96,165,28,26,54
大田,大森,※,24,22,46,63,75,138,24,22,46
大田,蒲田,,30,28,58,48,51,99,30,28,58
大田,田園調布,,24,22,46,48,61,109,24,22,46
大田,雪谷,※,28,26,54,64,124,188,28,26,54
世田谷,桜町,,33,30,63,49,101,150,33,30,63
世田谷,千歳丘,※,28,26,54,29,60,89,28,26,54
世田谷,深沢,※,24,22,46,34,82,116,24,22,46
世田谷,松原,※,20,18,38,51,99,150,20,18,38
渋谷,青山,,14,13,27,54,106,160,14,13,27
渋谷,広尾,※,20,18,38,79,97,176,20,18,38
中野,鷺宮,※,28,26,54,120,93,213,28,26,54
中野,富士,※,8,8,16,23,29,52,8,8,16
中野,武蔵丘,※,33,30,63,67,92,159,33,30,63
杉並,杉並,※,33,30,63,99,107,206,33,30,63
杉並,豊多摩,※,33,30,63,120,147,267,33,30,63
杉並,西,,33,30,63,104,148,252,33,30,63
豊島,豊島,※,28,26,54,81,120,201,28,26,54
豊島,文京,※,37,34,71,151,157,308,37,34,71
荒川,竹台,,22,21,43,30,45,75,22,21,43
板橋,板橋,※,28,26,54,79,125,204,28,26,54
板橋,大山,,24,22,46,38,54,92,24,22,46
板橋,北園,,33,30,63,97,127,224,33,30,63
板橋,高島,※,33,30,63,148,177,325,33,30,63
練馬,井草,,28,26,54,40,76,116,28,26,54
練馬,大泉,,8,8,16,23,24,47,8,8,16
練馬,石神井,※,33,30,63,120,115,235,33,30,63
練馬,田柄,,11,10,21,24,23,47,11,10,21
練馬,練馬,※,28,26,54,85,86,171,28,26,54
練馬,光丘,※,28,26,54,93,49,142,28,26,54
足立,青井,,24,22,46,35,66,101,24,22,46
足立,足立,※,33,30,63,125,80,205,33,30,63
足立,足立新田,※,29,26,55,106,119,225,29,26,55
足立,足立西,※,20,18,38,86,63,149,20,18,38
足立,足立東,※,30,27,57,62,72,134,30,27,57
足立,江北,,33,30,63,93,100,193,33,30,63
足立,淵江,※,24,22,46,58,79,137,24,22,46
葛飾,葛飾野,※,33,30,63,152,92,244,33,30,63
葛飾,南葛飾,,22,21,43,45,93,138,22,21,43
江戸川,江戸川,※,33,30,63,107,151,258,33,30,63
江戸川,葛西南,※,29,26,55,57,53,110,29,26,55
江戸川,小岩,※,37,34,71,158,194,352,37,34,71
江戸川,小松川,,33,30,63,87,91,178,33,30,63
江戸川,篠崎,※,29,26,55,97,103,200,29,26,55
江戸川,紅葉川,,24,22,46,103,98,201,24,22,46
区部計,,,1667,1531,3198,4876,5855,10731,1667,1531,3198
八王子,片倉,※,24,22,46,122,75,197,24,22,46
八王子,八王子北,※,20,19,39,71,76,147,20,19,39
八王子,八王子東,,33,30,63,67,91,158,33,30,63
八王子,富士森,※,36,33,69,94,135,229,36,33,69
八王子,松が谷,※,24,22,46,107,100,207,24,22,46
立川,立川,,33,30,63,98,113,211,33,30,63
武蔵野,武蔵,,8,8,16,19,23,42,8,8,16
武蔵野,武蔵野北,,24,22,46,56,96,152,24,22,46
青梅,多摩,,24,22,46,55,76,131,24,22,46
府中,府中,※,28,26,54,76,85,161,28,26,54
府中,府中西,※,31,28,59,55,82,137,31,28,59
府中,府中東,※,33,30,63,118,113,231,33,30,63
昭島,昭和,,33,30,63,67,64,131,33,30,63
昭島,拝島,,28,26,54,69,86,155,28,26,54
調布,神代,,28,26,54,68,80,148,28,26,54
調布,調布北,,24,22,46,35,56,91,24,22,46
調布,調布南,,24,22,46,72,67,139,24,22,46
町田,小川,,33,30,63,79,103,182,33,30,63
町田,成瀬,,28,26,54,40,83,123,28,26,54
町田,野津田,,12,11,23,28,51,79,12,11,23
町田,町田,,33,30,63,89,95,184,33,30,63
町田,山崎,,24,22,46,64,56,120,24,22,46
小金井,小金井北,,24,22,46,55,87,142,24,22,46
小平,小平,※,20,18,38,49,72,121,20,18,38
小平,小平西,※,29,26,55,110,134,244,29,26,55
小平,小平南,※,28,26,54,81,102,183,28,26,54
日野,日野,※,33,30,63,115,103,218,33,30,63
日野,日野台,,31,28,59,52,90,142,31,28,59
日野,南平,,33,30,63,64,86,150,33,30,63
東村山,東村山,※,30,28,58,87,82,169,30,28,58
東村山,東村山西,※,28,26,54,90,62,152,28,26,54
国立,国立,,33,30,63,91,119,210,33,30,63
福生,福生,※,28,26,54,118,109,227,28,26,54
狛江,狛江,※,37,34,71,99,100,199,37,34,71
東大和,東大和,※,28,26,54,126,106,232,28,26,54
東大和,東大和南,※,33,30,63,162,128,290,33,30,63
清瀬,清瀬,※,33,30,63,86,91,177,33,30,63
東久留米,久留米西,※,28,26,54,75,72,147,28,26,54
武蔵村山,武蔵村山,※,28,26,54,100,68,168,28,26,54
多摩,永山,※,33,30,63,114,112,226,33,30,63
羽村,羽村,※,33,30,63,81,68,149,33,30,63
あきる野,秋留台,,37,34,71,137,105,242,37,34,71
西東京,田無,※,33,30,63,90,88,178,33,30,63
西東京,保谷,※,33,30,63,90,113,203,33,30,63
多摩部計,,,1258,1153,2411,3621,3903,7524,1258,1153,2411
ｺｰｽ、単位制以外計,,,2925,2684,5609,8497,9758,18255,2925,2684,5609
注）※印の学校は文化・スポーツ等特別推薦の実施校であり、募集人員及び応募人員については、一般推薦と特別推薦の合計数である。合格人員については、一般推薦と文化・スポーツ等特別推薦の重複はない。,,,,,,,,,,,
