区分,学校経営(%),学外関係者対応(%),調査・報告(%),児童・生徒の指導、管理(%),研修(%),その他(%)
平日昨年度,55.2,24.4,8.6,8.0,0.8,3.1
平日今年度,55.8,16.5,7.6,16.3,0.7,3.1
