,合計,小１,小２,小３,小４,小５,小６,中１,中２,中３,高１,高２,高３,高４
身近な人(家族・先生・友達)に本を読んでもらったことがある。（％）,53.5,92.2,89.4,81.2,74.0,65.1,62.8,53.4,44.7,48.1,46.4,38.2,42.0,35.8
身近な人に本を読んであげることがある。（％）,28.2,66.2,66.6,54.7,40.7,34.3,33.0,28.9,22.6,21.5,20.5,14.7,17.2,14.8
身近な人と一緒に図書館や書店に行くことがある。（％）,47.4,77.2,74.5,68.4,67.8,65.6,65.2,57.2,49.9,46.8,41.0,29.9,32.3,30.7
身近な人と本の話をすることがある。（％）,37.7,58.6,57.7,50.7,50.2,46.4,47.0,38.7,36.7,37.0,32.6,27.7,30.4,26.1
家の中に本がある。（％）,83.9,93.8,95.0,93.8,93.1,89.0,92.2,90.6,87.5,86.7,80.0,76.0,74.9,64.8
学級文庫を利用している。（％）,26.7,83.2,79.5,66.8,57.5,47.1,42.4,24.9,21.9,16.7,4.4,3.7,5.8,5.1
どれもあてはまらない。（％）,6.7,2.1,1.0,1.4,1.4,2.4,2.4,2.9,5.5,5.3,8.1,11.1,9.2,18.2
無回答（％）,4.3,1.3,1.1,1.4,1.7,1.6,1.7,2.9,3.3,4.1,6.7,6.4,10.0,3.4
注）複数回答可,,,,,,,,,,,,,,
