学科,,,第１学年相当,第２学年相当以上,計,備考
普通科,,募集人員,20,1311,1331,
普通科,,募集校延べ数,3,9,9,
専門学科,工業科,募集人員,20,75,95,
専門学科,工業科,募集校延べ数,1,1,1,六郷工科普通科併置
専門学科,情報科,募集人員,0,6,6,
専門学科,情報科,募集校延べ数,0,1,1,新宿山吹普通科併置
専門学科,専門学科計,募集人員,20,81,101,
専門学科,専門学科計,募集校延べ数,1,2,2,
総合学科,,募集人員,60,631,691,
総合学科,,募集校延べ数,7,7,7,
単位制計,,募集人員,100,2023,2123,
単位制計,,募集校延べ数,11,18,18,募集校実数16校
