学科,,,第１学年相当,第２学年相当以上,計,備考
普通科,,募集人員,76,429,505,
普通科,,募集校延べ数,7,9,9,
専門学科,工業科,募集人員,23,49,72,
専門学科,工業科,募集校延べ数,1,1,1,六郷工科普通科併置
専門学科,情報科,募集人員,0,17,17,
専門学科,情報科,募集校延べ数,0,1,1,新宿山吹普通科併置
専門学科,専門学科計,募集人員,23,66,89,
専門学科,専門学科計,募集校延べ数,1,2,2,
総合学科,,募集人員,15,250,265,
総合学科,,募集校延べ数,3,7,7,
単位制計,,募集人員,114,745,859,
単位制計,,募集校延べ数,11,18,18,募集校実数16校
