学科,,,第２学年相当以上,計,備考
普通科,,募集人員,1055,1055,
普通科,,募集校延べ数,9,9,
"専門学
科",工業科,募集人員,74,74,
"専門学
科",工業科,募集校延べ数,1,1,六郷工科普通科併置
"専門学
科",専門学科計,募集人員,74,74,
"専門学
科",専門学科計,募集校延べ数,1,1,
総合学科,,募集人員,370,370,
総合学科,,募集校延べ数,7,7,
単位制計,,募集人員,1499,1499,
単位制計,,募集校延べ数,17,17,募集校実数15校
